TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
1610612743,DEN,Denver Nuggets,82,30,52,242.4,8.8,25.3,0.347,23.8,6.3,18.9,0.331,0.471
1610612765,DET,Detroit Pistons,82,32,50,241.8,8.5,23.2,0.366,23.6,6.6,18.4,0.359,0.508
1610612744,GSW,Golden State Warriors,82,67,15,240.6,11.1,26.9,0.412,30.0,7.8,19.3,0.404,0.557
1610612745,HOU,Houston Rockets,82,56,26,241.5,9.4,26.8,0.352,27.7,8.8,25.1,0.352,0.517
1610612754,IND,Indiana Pacers,82,38,44,242.1,12.0,29.9,0.4,30.0,6.1,16.3,0.376,0.502
1610612746,LAC,Los Angeles Clippers,82,56,26,240.6,11.1,27.5,0.403,29.8,7.6,19.4,0.391,0.541
1610612747,LAL,Los Angeles Lakers,82,21,61,243.0,8.5,22.5,0.376,21.1,4.1,11.6,0.355,0.468
1610612763,MEM,Memphis Grizzlies,82,55,27,242.7,8.1,21.6,0.375,20.3,4.1,11.9,0.344,0.47
1610612748,MIA,Miami Heat,82,37,45,240.6,8.4,22.6,0.373,22.7,5.8,16.3,0.358,0.501
1610612749,MIL,Milwaukee Bucks,82,41,41,243.0,9.8,24.4,0.401,25.0,5.5,14.9,0.368,0.513
1610612750,MIN,Minnesota Timberwolves,82,16,66,241.5,7.9,21.5,0.37,19.6,3.8,10.8,0.351,0.458
1610612740,NOP,New Orleans Pelicans,82,45,37,241.2,9.6,22.9,0.418,25.0,5.9,14.6,0.402,0.546
1610612752,NYK,New York Knicks,82,17,65,242.1,11.5,28.9,0.4,28.5,5.4,14.7,0.369,0.494
1610612760,OKC,Oklahoma City Thunder,82,45,37,241.8,8.8,23.8,0.37,23.3,5.6,16.0,0.353,0.489
1610612753,ORL,Orlando Magic,82,25,57,240.9,9.3,24.1,0.386,24.3,5.7,15.6,0.364,0.504
1610612755,PHI,Philadelphia 76ers,82,18,64,241.5,9.5,27.7,0.343,26.1,7.1,21.3,0.333,0.471
1610612756,PHX,Phoenix Suns,82,39,43,242.4,9.0,24.6,0.368,24.6,6.5,18.6,0.348,0.5
1610612757,POR,Portland Trail Blazers,82,51,31,242.1,11.5,29.2,0.393,30.1,7.1,19.4,0.366,0.515
1610612758,SAC,Sacramento Kings,82,29,53,242.1,7.1,19.6,0.362,18.5,4.3,12.6,0.344,0.473
1610612759,SAS,San Antonio Spurs,82,55,27,243.4,9.7,24.5,0.397,26.6,7.2,18.4,0.39,0.543
1610612761,TOR,Toronto Raptors,82,49,33,242.1,7.9,20.2,0.391,22.0,6.3,16.6,0.379,0.546
1610612762,UTA,Utah Jazz,82,38,44,240.3,9.0,24.3,0.369,24.3,6.4,17.2,0.37,0.501
1610612764,WAS,Washington Wizards,82,46,36,243.4,10.3,25.9,0.399,25.8,5.2,13.7,0.377,0.499
1610612737,ATL,Atlanta Hawks,82,38,44,241.8,11.8,28.7,0.409,31.2,7.7,20.3,0.38,0.543
1610612738,BOS,Boston Celtics,82,25,57,240.6,10.3,26.7,0.386,26.3,5.6,16.3,0.344,0.491
1610612751,BKN,Brooklyn Nets,82,44,38,242.4,10.0,25.0,0.399,27.1,7.2,18.7,0.385,0.543
1610612766,CHA,Charlotte Bobcats,82,43,39,242.7,9.1,24.2,0.376,23.3,5.1,14.1,0.364,0.482
1610612741,CHI,Chicago Bulls,82,48,34,243.0,10.3,26.3,0.394,25.5,4.8,13.5,0.357,0.486
1610612739,CLE,Cleveland Cavaliers,82,33,49,243.0,8.8,22.9,0.384,23.0,5.4,14.8,0.364,0.501
1610612742,DAL,Dallas Mavericks,82,49,33,241.8,10.7,25.5,0.419,28.6,7.3,18.1,0.401,0.561
1610612743,DEN,Denver Nuggets,82,36,46,240.9,9.3,24.5,0.38,25.2,6.5,17.6,0.371,0.513
1610612765,DET,Detroit Pistons,82,29,53,241.2,6.6,19.8,0.334,17.8,4.5,14.0,0.325,0.449
1610612744,GSW,Golden State Warriors,82,51,31,241.8,9.1,22.6,0.405,24.7,6.5,16.2,0.401,0.548
