SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
22018,1610612766,CHA,Charlotte Hornets,Handoff,Offensive,0.483,82,0.055,0.92,0.416,0.068,0.108,0.064,0.01,0.404,0.483,6.1,5.6,2.1,5.1,3.0
22018,1610612749,MIL,Milwaukee Bucks,Handoff,Offensive,0.897,82,0.05,0.994,0.414,0.08,0.078,0.071,0.019,0.413,0.51,5.6,5.6,2.0,4.9,2.9
22018,1610612741,CHI,Chicago Bulls,Handoff,Offensive,0.172,82,0.056,0.862,0.419,0.082,0.13,0.072,0.022,0.397,0.468,6.1,5.3,2.1,5.0,2.9
22018,1610612740,NOP,New Orleans Pelicans,Handoff,Offensive,0.552,82,0.047,0.933,0.418,0.078,0.11,0.074,0.007,0.407,0.501,5.5,5.1,1.9,4.5,2.6
22018,1610612738,BOS,Boston Celtics,Handoff,Offensive,0.345,82,0.05,0.901,0.394,0.066,0.091,0.06,0.009,0.393,0.46,5.5,5.0,1.9,4.7,2.9
22018,1610612759,SAS,San Antonio Spurs,Handoff,Offensive,0.828,82,0.046,0.981,0.441,0.08,0.104,0.072,0.019,0.429,0.51,5.1,5.0,1.9,4.2,2.4
22018,1610612754,IND,Indiana Pacers,Handoff,Offensive,0.276,82,0.05,0.879,0.435,0.06,0.13,0.054,0.013,0.405,0.481,5.5,4.8,2.0,4.5,2.5
22018,1610612763,MEM,Memphis Grizzlies,Handoff,Offensive,0.448,82,0.047,0.91,0.424,0.075,0.129,0.066,0.017,0.403,0.482,5.0,4.6,1.7,4.1,2.4
22018,1610612744,GSW,Golden State Warriors,Handoff,Offensive,0.724,82,0.041,0.971,0.429,0.059,0.094,0.059,0.0,0.414,0.511,4.6,4.4,1.7,3.9,2.2
22018,1610612751,BKN,Brooklyn Nets,Handoff,Offensive,0.69,82,0.04,0.95,0.41,0.101,0.119,0.09,0.013,0.41,0.497,4.6,4.4,1.5,3.7,2.2
22018,1610612746,LAC,LA Clippers,Handoff,Offensive,0.069,82,0.047,0.813,0.376,0.087,0.118,0.064,0.016,0.371,0.424,5.4,4.4,1.6,4.3,2.7
22018,1610612758,SAC,Sacramento Kings,Handoff,Offensive,0.621,82,0.04,0.944,0.412,0.042,0.088,0.034,0.005,0.395,0.502,4.6,4.3,1.7,4.0,2.4
22018,1610612742,DAL,Dallas Mavericks,Handoff,Offensive,0.0,82,0.046,0.788,0.366,0.075,0.132,0.071,0.026,0.347,0.419,5.2,4.1,1.5,4.2,2.7
22018,1610612764,WAS,Washington Wizards,Handoff,Offensive,0.517,82,0.038,0.929,0.408,0.116,0.082,0.102,0.034,0.42,0.457,4.3,4.0,1.5,3.6,2.1
22018,1610612750,MIN,Minnesota Timberwolves,Handoff,Offensive,0.207,82,0.039,0.872,0.393,0.098,0.101,0.09,0.016,0.395,0.455,4.5,3.9,1.4,3.7,2.2
22018,1610612756,PHX,Phoenix Suns,Handoff,Offensive,0.034,82,0.043,0.799,0.367,0.075,0.136,0.07,0.028,0.344,0.431,4.9,3.9,1.5,4.0,2.5
22018,1610612745,HOU,Houston Rockets,Handoff,Offensive,0.793,82,0.033,0.98,0.411,0.083,0.119,0.07,0.017,0.394,0.522,3.7,3.6,1.2,3.0,1.8
22018,1610612761,TOR,Toronto Raptors,Handoff,Offensive,0.655,82,0.032,0.949,0.432,0.101,0.125,0.091,0.017,0.426,0.5,3.6,3.4,1.2,2.9,1.6
22018,1610612747,LAL,Los Angeles Lakers,Handoff,Offensive,0.931,82,0.026,1.024,0.467,0.089,0.145,0.089,0.036,0.423,0.56,3.0,3.1,1.1,2.4,1.3
22018,1610612760,OKC,Oklahoma City Thunder,Handoff,Offensive,0.586,81,0.026,0.939,0.407,0.086,0.098,0.074,0.02,0.393,0.498,3.0,2.8,1.0,2.5,1.5
22017,1610612748,MIA,Miami Heat,Handoff,Offensive,0.69,82,0.106,0.944,0.389,0.062,0.08,0.054,0.015,0.384,0.485,11.4,10.7,3.9,9.9,6.1
22017,1610612765,DET,Detroit Pistons,Handoff,Offensive,0.172,82,0.109,0.85,0.39,0.08,0.108,0.071,0.01,0.386,0.445,11.8,10.0,3.8,9.7,5.9
22017,1610612743,DEN,Denver Nuggets,Handoff,Offensive,0.793,82,0.07,0.967,0.442,0.081,0.101,0.073,0.011,0.431,0.504,7.7,7.5,2.8,6.4,3.6
22017,1610612755,PHI,Philadelphia 76ers,Handoff,Offensive,0.517,82,0.07,0.909,0.422,0.059,0.119,0.052,0.014,0.397,0.487,7.8,7.1,2.8,6.5,3.8
22017,1610612737,ATL,Atlanta Hawks,Handoff,Offensive,0.759,82,0.058,0.958,0.425,0.102,0.117,0.088,0.029,0.417,0.493,6.3,6.1,2.2,5.1,3.0
22017,1610612762,UTA,Utah Jazz,Handoff,Offensive,0.345,82,0.063,0.87,0.42,0.055,0.139,0.051,0.006,0.389,0.482,6.6,5.8,2.3,5.4,3.1
22017,1610612741,CHI,Chicago Bulls,Handoff,Offensive,0.414,82,0.059,0.884,0.376,0.078,0.114,0.072,0.013,0.369,0.456,6.4,5.7,2.0,5.3,3.3
22017,1610612738,BOS,Boston Celtics,Handoff,Offensive,0.31,82,0.057,0.867,0.389,0.075,0.127,0.067,0.008,0.379,0.463,6.1,5.3,1.9,5.0,3.0
22017,1610612756,PHX,Phoenix Suns,Handoff,Offensive,0.207,82,0.051,0.859,0.38,0.068,0.109,0.064,0.011,0.371,0.447,5.7,4.9,1.8,4.7,2.9
22017,1610612753,ORL,Orlando Magic,Handoff,Offensive,0.069,82,0.055,0.813,0.364,0.104,0.114,0.089,0.01,0.382,0.412,6.0,4.9,1.7,4.8,3.0
22017,1610612757,POR,Portland Trail Blazers,Handoff,Offensive,0.897,82,0.045,0.99,0.418,0.097,0.11,0.085,0.017,0.419,0.502,4.9,4.8,1.7,4.0,2.3
22017,1610612758,SAC,Sacramento Kings,Handoff,Offensive,0.552,82,0.049,0.92,0.417,0.05,0.092,0.04,0.012,0.396,0.489,5.2,4.8,1.9,4.5,2.6
22017,1610612751,BKN,Brooklyn Nets,Handoff,Offensive,0.241,82,0.048,0.86,0.362,0.085,0.117,0.071,0.03,0.352,0.445,5.3,4.6,1.6,4.4,2.8
22017,1610612754,IND,Indiana Pacers,Handoff,Offensive,0.966,82,0.041,1.019,0.483,0.09,0.115,0.077,0.022,0.458,0.545,4.5,4.5,1.8,3.6,1.9
22017,1610612746,LAC,LA Clippers,Handoff,Offensive,0.276,82,0.047,0.862,0.391,0.07,0.127,0.054,0.014,0.373,0.464,5.2,4.5,1.7,4.2,2.6
22017,1610612740,NOP,New Orleans Pelicans,Handoff,Offensive,1.0,82,0.036,1.039,0.505,0.045,0.129,0.036,0.012,0.456,0.582,4.1,4.2,1.7,3.4,1.7
22017,1610612759,SAS,San Antonio Spurs,Handoff,Offensive,0.586,82,0.041,0.925,0.434,0.086,0.117,0.078,0.022,0.414,0.493,4.4,4.1,1.6,3.6,2.0
22017,1610612764,WAS,Washington Wizards,Handoff,Offensive,0.138,82,0.044,0.835,0.386,0.094,0.124,0.086,0.018,0.385,0.429,4.8,4.0,1.5,3.9,2.4
22017,1610612742,DAL,Dallas Mavericks,Handoff,Offensive,0.448,82,0.042,0.893,0.416,0.046,0.107,0.044,0.003,0.391,0.489,4.5,4.0,1.6,3.8,2.2
