TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH
1610612761,TOR,Toronto Raptors,82,59,23,241.8,111.7,421.4,232.2,21.0,2.99,2.23,0.265,10.8,5.6,22.4,0.592,0.624,0.887
1610612762,UTA,Utah Jazz,82,48,34,240.9,104.1,437.7,258.0,21.5,2.94,2.22,0.238,15.6,3.8,22.9,0.484,0.296,0.855
1610612764,WAS,Washington Wizards,82,43,39,242.1,106.6,412.5,223.3,21.1,3.07,2.3,0.258,15.8,8.2,23.2,0.421,0.572,0.807
1610612737,ATL,Atlanta Hawks,82,43,39,242.4,103.2,431.2,248.2,20.4,2.85,2.06,0.239,14.0,10.8,27.4,0.319,0.527,0.77
1610612738,BOS,Boston Celtics,82,53,29,240.9,108.0,442.4,258.4,20.5,2.78,2.07,0.244,9.8,12.0,22.9,0.453,0.485,0.816
1610612751,BKN,Brooklyn Nets,81,20,61,240.9,105.8,433.3,251.4,19.9,2.76,2.07,0.244,11.7,15.5,21.3,0.593,0.478,0.83
1610612766,CHA,Charlotte Hornets,82,36,46,241.8,104.9,408.1,229.9,20.7,3.04,2.4,0.257,13.5,8.5,20.9,0.51,0.563,0.816
1610612741,CHI,Chicago Bulls,82,41,41,241.2,102.9,424.0,239.6,20.9,2.95,2.13,0.243,13.5,14.7,27.0,0.496,0.527,0.764
1610612739,CLE,Cleveland Cavaliers,82,51,31,242.4,110.3,394.3,200.7,20.9,3.19,2.35,0.28,12.0,10.3,20.9,0.49,0.521,0.747
1610612742,DAL,Dallas Mavericks,81,32,49,241.2,97.7,410.8,227.3,22.2,3.24,2.46,0.238,11.0,11.9,16.3,0.453,0.513,0.776
1610612743,DEN,Denver Nuggets,81,39,42,240.9,111.4,419.4,236.1,20.8,2.97,2.18,0.266,12.2,12.4,27.5,0.525,0.587,0.869
1610612765,DET,Detroit Pistons,82,37,45,241.5,101.3,397.9,213.6,20.6,3.11,2.4,0.255,11.3,12.2,25.3,0.486,0.595,0.871
1610612744,GSW,Golden State Warriors,82,67,15,241.2,115.9,440.1,252.3,19.3,2.64,1.85,0.263,17.7,14.9,30.0,0.453,0.322,0.81
1610612745,HOU,Houston Rockets,82,55,27,241.2,115.3,388.9,198.3,19.6,3.03,2.19,0.297,12.0,3.7,25.6,0.63,0.545,0.862
1610612754,IND,Indiana Pacers,81,42,39,242.2,105.0,405.8,218.4,21.0,3.11,2.37,0.259,15.7,13.3,23.8,0.485,0.535,0.849
1610612746,LAC,LA Clippers,82,51,31,240.9,108.7,419.9,230.8,21.2,3.04,2.32,0.259,11.5,11.7,21.7,0.441,0.527,0.895
1610612747,LAL,Los Angeles Lakers,82,26,56,240.3,104.6,409.3,223.1,20.6,3.01,2.09,0.255,14.6,10.4,26.8,0.505,0.459,0.756
1610612763,MEM,Memphis Grizzlies,82,43,39,242.7,100.5,422.1,243.1,22.0,3.13,2.31,0.238,18.2,21.0,24.5,0.372,0.531,0.8
1610612748,MIA,Miami Heat,82,41,41,241.2,103.2,401.9,214.4,21.5,3.21,2.61,0.257,12.0,9.9,24.3,0.435,0.45,0.808
1610612749,MIL,Milwaukee Bucks,82,42,40,241.2,103.6,403.9,220.5,20.3,3.02,2.25,0.257,19.9,13.5,26.4,0.344,0.492,0.842
1610612750,MIN,Minnesota Timberwolves,82,31,51,241.5,105.6,405.4,221.2,21.5,3.19,2.29,0.26,13.2,19.0,26.9,0.555,0.599,0.84
1610612740,NOP,New Orleans Pelicans,82,34,48,242.7,104.3,418.6,231.5,19.9,2.86,2.16,0.249,13.0,11.4,20.3,0.57,0.57,0.854
1610612752,NYK,New York Knicks,82,31,51,242.1,104.3,447.7,262.9,20.7,2.78,1.9,0.233,18.7,14.4,25.8,0.455,0.498,0.746
1610612760,OKC,Oklahoma City Thunder,82,47,35,241.5,106.6,379.6,196.1,20.2,3.19,2.36,0.281,15.0,17.1,30.0,0.545,0.541,0.756
1610612753,ORL,Orlando Magic,82,29,53,241.5,101.1,414.9,234.5,20.5,2.96,2.22,0.244,13.1,14.2,23.6,0.541,0.445,0.816
1610612755,PHI,Philadelphia 76ers,82,28,54,241.8,102.4,474.9,285.9,20.9,2.64,2.0,0.216,17.6,13.4,25.8,0.414,0.488,0.789
1610612756,PHX,Phoenix Suns,80,23,57,241.9,107.7,422.7,228.7,20.0,2.84,2.16,0.255,13.7,10.1,25.9,0.495,0.44,0.849
1610612757,POR,Portland Trail Blazers,82,41,41,243.0,107.9,397.0,210.6,21.8,3.3,2.56,0.272,13.3,7.2,23.0,0.494,0.522,0.722
1610612758,SAC,Sacramento Kings,82,32,50,242.4,102.8,437.1,255.6,21.5,2.95,2.06,0.235,21.9,16.4,25.6,0.368,0.493,0.789
1610612759,SAS,San Antonio Spurs,81,61,20,241.5,105.3,434.0,253.5,21.1,2.92,2.27,0.243,15.9,18.3,22.9,0.378,0.473,0.838
1610612761,TOR,Toronto Raptors,81,50,31,241.2,106.7,392.1,209.3,21.3,3.26,2.61,0.272,9.0,7.9,21.9,0.462,0.579,0.761
1610612762,UTA,Utah Jazz,82,51,31,240.9,100.7,429.2,259.9,21.7,3.03,2.19,0.235,15.2,10.2,25.4,0.422,0.34,0.859
1610612764,WAS,Washington Wizards,82,49,33,242.1,109.2,386.2,194.8,20.6,3.21,2.49,0.283,14.7,9.5,23.8,0.497,0.561,0.855
1610612737,ATL,Atlanta Hawks,82,48,34,241.8,102.8,442.7,265.4,20.0,2.72,2.01,0.232,15.7,11.6,25.9,0.38,0.475,0.723
1610612738,BOS,Boston Celtics,81,47,34,241.2,105.6,439.4,251.5,19.7,2.69,1.99,0.24,13.0,9.3,25.8,0.505,0.489,0.803
1610612751,BKN,Brooklyn Nets,82,21,61,240.9,98.6,409.9,231.4,20.9,3.07,2.4,0.241,19.5,18.4,24.9,0.54,0.516,0.791
1610612766,CHA,Charlotte Hornets,82,48,34,242.1,103.4,414.1,233.9,21.0,3.04,2.43,0.25,13.0,12.4,19.8,0.455,0.489,0.801
1610612741,CHI,Chicago Bulls,82,42,40,242.7,101.6,428.5,243.6,20.8,2.91,2.09,0.237,13.9,17.0,25.6,0.471,0.422,0.751
1610612739,CLE,Cleveland Cavaliers,82,57,25,242.1,104.3,414.8,229.2,21.6,3.13,2.34,0.252,12.8,12.5,25.1,0.431,0.562,0.75
1610612742,DAL,Dallas Mavericks,82,42,40,244.0,102.3,449.6,254.0,21.7,2.9,2.17,0.228,17.7,13.3,21.7,0.35,0.539,0.769
1610612743,DEN,Denver Nuggets,82,33,49,241.8,101.9,411.1,228.8,21.2,3.1,2.37,0.248,14.9,11.4,28.9,0.523,0.533,0.834
1610612765,DET,Detroit Pistons,82,44,38,242.4,102.0,384.2,199.8,21.0,3.28,2.61,0.265,12.8,13.3,27.3,0.371,0.556,0.804
1610612744,GSW,Golden State Warriors,82,73,9,242.4,114.9,446.4,259.2,19.4,2.6,1.86,0.257,15.2,16.6,27.6,0.469,0.342,0.795
1610612745,HOU,Houston Rockets,82,41,41,241.8,106.5,409.4,219.8,20.0,2.93,2.1,0.26,12.8,10.1,27.6,0.476,0.462,0.775
1610612754,IND,Indiana Pacers,82,45,37,242.4,102.2,425.4,238.5,21.1,2.98,2.1,0.24,17.0,13.1,25.8,0.464,0.422,0.789
1610612746,LAC,LA Clippers,82,53,29,241.8,104.5,405.6,216.6,21.0,3.11,2.37,0.258,13.9,8.6,22.5,0.466,0.368,0.832
